Category,Author,Title/Subtitle,Barcode,Circ Type,Description 1,Description 2,Description 3,ISBN,Subject
,"Hale, Shannon.",Real friends,T 90528,MS/US Circulating,,,,978-1-62672-416-7,Cliques (Sociology) -- Cartoons and comics.
,"Hale, Shannon.",Real friends,T 90528,MS/US Circulating,,,,978-1-62672-416-7,"Cliques (Sociology) -- Comic books, strips, etc."
,"Hale, Shannon.",Real friends,T 90528,MS/US Circulating,,,,978-1-62672-416-7,Comics (Graphic works)
,"Hale, Shannon.",Real friends,T 90528,MS/US Circulating,,,,978-1-62672-416-7,Female friendship -- Cartoons and comics.
,"Hale, Shannon.",Real friends,T 90528,MS/US Circulating,,,,978-1-62672-416-7,"Female friendship -- Comic books, strips, etc."
,"Hale, Shannon.",Real friends,T 90528,MS/US Circulating,,,,978-1-62672-416-7,"Hale, Shannon -- Cartoons and comics."
,"Hale, Shannon.",Real friends,T 90528,MS/US Circulating,,,,978-1-62672-416-7,"Hale, Shannon -- Comic books, strips, etc."
,"Hale, Shannon.",Real friends,T 90528,MS/US Circulating,,,,978-1-62672-416-7,Nonfiction comics.
,"Hale, Shannon.",Real friends,T 90528,MS/US Circulating,,,,978-1-62672-416-7,Schools -- Cartoons and comics.
,"Hale, Shannon.",Real friends,T 90528,MS/US Circulating,,,,978-1-62672-416-7,"Schools -- Comic books, strips, etc."
,"Hale, Shannon.",Real friends,T 90528,MS/US Circulating,,,,978-1-62672-416-7,Women -- Biography -- Cartoons and comics.
,"Hale, Shannon.",Real friends,T 90528,MS/US Circulating,,,,978-1-62672-416-7,"Women -- United States -- Biography -- Comic books, strips, etc."
,"Hale, Shannon.",A wonderlandiful world,T 49109,MS/US Circulating,,,,978-0-316-28209-3,JUVENILE FICTION / Fairy Tales & Folklore / General.
,"Hale, Shannon.",A wonderlandiful world,T 49109,MS/US Circulating,,,,978-0-316-28209-3,"JUVENILE FICTION / Toys, Dolls, Puppets."
,"Hall, Maggie, 1982-",The conspiracy of us,T 49145,MS/US Circulating,,,,978-0-399-16650-1,
,"Hammel, Sara.",The underdogs,T 24368,MS/US Circulating,,,,978-0-374-30161-3,JUVENILE FICTION / Family / General (see also headings under Social Issues).
,"Hammel, Sara.",The underdogs,T 24368,MS/US Circulating,,,,978-0-374-30161-3,JUVENILE FICTION / Mysteries & Detective Stories.
,"Hammel, Sara.",The underdogs,T 24368,MS/US Circulating,,,,978-0-374-30161-3,JUVENILE FICTION / Social Issues / Friendship.
,"Hammel, Sara.",The underdogs,T 24368,MS/US Circulating,,,,978-0-374-30161-3,JUVENILE FICTION / Social Issues / Self-Esteem & Self-Reliance.
,"Han, Jenny.","Always and forever, Lara Jean",T 90512,MS/US Circulating,,,,978-1-48143048-7,Dating (Social customs)
,"Han, Jenny.","Always and forever, Lara Jean",T 90512,MS/US Circulating,,,,978-1-48143048-7,Dating (Social customs) -- Fiction.
,"Han, Jenny.","Always and forever, Lara Jean",T 90512,MS/US Circulating,,,,978-1-48143048-7,Love -- Fiction.
,"Han, Jenny.","Always and forever, Lara Jean",T 90512,MS/US Circulating,,,,978-1-48143048-7,Romance fiction.
,"Han, Jenny.","Always and forever, Lara Jean",T 90512,MS/US Circulating,,,,978-1-48143048-7,Weddings
,"Han, Jenny.","Always and forever, Lara Jean",T 90512,MS/US Circulating,,,,978-1-48143048-7,Weddings -- Fiction.
,"Hardinge, Frances,",The Lie Tree,T 24400,MS/US Circulating,,,,978-1-41971895-3,JUVENILE FICTION / Fantasy & Magic.
,"Hardinge, Frances,",The Lie Tree,T 24400,MS/US Circulating,,,,978-1-41971895-3,JUVENILE FICTION / General.
,"Hardinge, Frances,",The Lie Tree,T 24400,MS/US Circulating,,,,978-1-41971895-3,JUVENILE FICTION / Mysteries & Detective Stories.
,"Hardinge, Frances.",A skinful of shadows,T 91071,MS/US Circulating,,,,978-1-41972572-2,Family secrets
,"Hardinge, Frances.",A skinful of shadows,T 91071,MS/US Circulating,,,,978-1-41972572-2,Family secrets -- Fiction.
,"Hardinge, Frances.",A skinful of shadows,T 91071,MS/US Circulating,,,,978-1-41972572-2,Fantasy fiction.
,"Hardinge, Frances.",A skinful of shadows,T 91071,MS/US Circulating,,,,978-1-41972572-2,Friendship
,"Hardinge, Frances.",A skinful of shadows,T 91071,MS/US Circulating,,,,978-1-41972572-2,Friendship -- Fiction.
,"Hardinge, Frances.",A skinful of shadows,T 91071,MS/US Circulating,,,,978-1-41972572-2,Girls
,"Hardinge, Frances.",A skinful of shadows,T 91071,MS/US Circulating,,,,978-1-41972572-2,Girls -- Fiction.
,"Hardinge, Frances.",A skinful of shadows,T 91071,MS/US Circulating,,,,978-1-41972572-2,"Great Britain -- History -- Civil War, 1642-1649"
,"Hardinge, Frances.",A skinful of shadows,T 91071,MS/US Circulating,,,,978-1-41972572-2,"Great Britain -- History -- Civil War, 1642-1649 -- Fiction."
,"Hardinge, Frances.",A skinful of shadows,T 91071,MS/US Circulating,,,,978-1-41972572-2,Historical fiction.
,"Hardinge, Frances.",A skinful of shadows,T 91071,MS/US Circulating,,,,978-1-41972572-2,Paranormal fiction.
,"Hardinge, Frances.",A skinful of shadows,T 91071,MS/US Circulating,,,,978-1-41972572-2,Spirit possession
,"Hardinge, Frances.",A skinful of shadows,T 91071,MS/US Circulating,,,,978-1-41972572-2,Spirit possession -- Fiction.
,"Hardy, Ralph, 1960-",Argos : the story of Odysseus as told by his loyal dog,T 24363,MS/US Circulating,,,,978-0-06-239678-5,JUVENILE FICTION / Animals / Dogs.
,"Hardy, Ralph, 1960-",Argos : the story of Odysseus as told by his loyal dog,T 24363,MS/US Circulating,,,,978-0-06-239678-5,JUVENILE FICTION / Classics.
,"Hardy, Ralph, 1960-",Argos : the story of Odysseus as told by his loyal dog,T 24363,MS/US Circulating,,,,978-0-06-239678-5,"JUVENILE FICTION / Legends, Myths, Fables / Greek & Roman."
,"Hardy, Ralph, 1960-",Argos : the story of Odysseus as told by his loyal dog,T 24363,MS/US Circulating,,,,978-0-06-239678-5,"Odysseus, King of Ithaca (Mythological character)"
,"Hatke, Ben,",Mighty Jack. Book one,T 24420,MS/US Circulating,,,,978-1-62672-264-4 (pbk.),Graphic novels.
,"Hattemer, Kate.","The land of 10,000 Madonnas",T 24235,MS/US Circulating,,,,978-0-385-39157-3,JUVENILE FICTION / People & Places / Europe.
,"Hattemer, Kate.","The land of 10,000 Madonnas",T 24235,MS/US Circulating,,,,978-0-385-39157-3,JUVENILE FICTION / Social Issues / Death & Dying.
,"Hattemer, Kate.","The land of 10,000 Madonnas",T 24235,MS/US Circulating,,,,978-0-385-39157-3,JUVENILE FICTION / Social Issues / Friendship.
,"Healey, Karen.",When we wake,T 23641,MS/US Circulating,,,,978-0-316-20076-9,JUVENILE FICTION / Action & Adventure / General.
,"Healey, Karen.",When we wake,T 23641,MS/US Circulating,,,,978-0-316-20076-9,JUVENILE FICTION / People & Places / Australia & Oceania.
,"Healey, Karen.",When we wake,T 23641,MS/US Circulating,,,,978-0-316-20076-9,JUVENILE FICTION / Science Fiction.
,"Heaney, Katie,",Dear Emma,T 24209,MS/US Circulating,,,,978-1-45553460-9 (pbk.),Advice columnists -- Fiction.
,"Heaney, Katie,",Dear Emma,T 24209,MS/US Circulating,,,,978-1-45553460-9 (pbk.),FICTION / Coming of Age.
,"Heaney, Katie,",Dear Emma,T 24209,MS/US Circulating,,,,978-1-45553460-9 (pbk.),FICTION / Contemporary Women.
,"Heaney, Katie,",Dear Emma,T 24209,MS/US Circulating,,,,978-1-45553460-9 (pbk.),Man-woman relationships -- Fiction.
,"Heaney, Katie,",Dear Emma,T 24209,MS/US Circulating,,,,978-1-45553460-9 (pbk.),Women college students -- Fiction.
,"Heath, Jack, 1986-",Money run,T 35492,MS/US Circulating,,,,978-0-545-51266-4 (hardcover),Assassins
,"Heath, Jack, 1986-",Money run,T 35492,MS/US Circulating,,,,978-0-545-51266-4 (hardcover),Assassins -- Fiction.
,"Heath, Jack, 1986-",Money run,T 35492,MS/US Circulating,,,,978-0-545-51266-4 (hardcover),Robbers and outlaws -- Fiction.
,"Heath, Jack, 1986-",Money run,T 35492,MS/US Circulating,,,,978-0-545-51266-4 (hardcover),Stealing -- Fiction.
,"Heath, Jack, 1986-",Money run,T 35492,MS/US Circulating,,,,978-0-545-51266-4 (hardcover),Theft
,"Heath, Jack, 1986-",Money run,T 35492,MS/US Circulating,,,,978-0-545-51266-4 (hardcover),Thieves
,"Hemingway, Ernest, 1899-1961.",The sun also rises,T 48841,MS/US Circulating,,,,978-0-7432-9733-2 (pbk.),"Ashley, Brett (Fictitious character) -- Fiction."
,"Hemingway, Ernest, 1899-1961.",The sun also rises,T 48841,MS/US Circulating,,,,978-0-7432-9733-2 (pbk.),Expatriation -- Fiction.
,"Hemingway, Ernest, 1899-1961.",The sun also rises,T 48841,MS/US Circulating,,,,978-0-7432-9733-2 (pbk.),Historical fiction.
,"Hemingway, Ernest, 1899-1961.",The sun also rises,T 48841,MS/US Circulating,,,,978-0-7432-9733-2 (pbk.),"Spain -- History -- Alfonso XIII, 1886-1931 -- Fiction."
,"Henkes, Kevin.",Olive's ocean,T 23760,MS/US Circulating,,,,978-0-06-053545-2 (pbk.),
,"Henry, April,",The girl I used to be,T 24376,MS/US Circulating,,,,978-1-62779-332-2,JUVENILE FICTION / Family / Orphans & Foster Homes.
,"Henry, April,",The girl I used to be,T 24376,MS/US Circulating,,,,978-1-62779-332-2,JUVENILE FICTION / Mysteries & Detective Stories.
,"Heppermann, Christine,",Ask me how I got here,T 24366,MS/US Circulating,,,,978-0-06-238795-0,
,"Hicks, Faith Erin.",Friends with boys,T 23736,MS/US Circulating,,,,978-1-59643-556-8 (pbk.),Graphic novels.
,"Hinton, S. E.",The outsiders,T 23762,MS/US Circulating,,,,978-0-14-240733-2 (pbk.),
,"Hinton, S. E.",The outsiders,T 90776,MS/US Circulating,,,,978-0-425-28829-0,Family life
,"Hinton, S. E.",The outsiders,T 90776,MS/US Circulating,,,,978-0-425-28829-0,Family life -- Fiction.
,"Hinton, S. E.",The outsiders,T 90776,MS/US Circulating,,,,978-0-425-28829-0,Gangs
,"Hinton, S. E.",The outsiders,T 90776,MS/US Circulating,,,,978-0-425-28829-0,Gangs -- Fiction.
,"Hinton, S. E.","That was then, this is now",T 23698,MS/US Circulating,,,,0-14-038966-0 (pbk.),Friendship -- Fiction.
,"Hinton, S. E.","That was then, this is now",T 23698,MS/US Circulating,,,,0-14-038966-0 (pbk.),Social problems -- Fiction.
,"Holm, Jennifer L.",Middle school is worse than meatloaf : a year told through stuff,T 35560,MS/US Circulating,,,,0-689-85281-9 (hardcover),Family life -- Fiction.
,"Holm, Jennifer L.",Middle school is worse than meatloaf : a year told through stuff,T 35560,MS/US Circulating,,,,0-689-85281-9 (hardcover),Middle school students
,"Holm, Jennifer L.",Middle school is worse than meatloaf : a year told through stuff,T 35560,MS/US Circulating,,,,0-689-85281-9 (hardcover),Middle schools
,"Holm, Jennifer L.",Middle school is worse than meatloaf : a year told through stuff,T 35560,MS/US Circulating,,,,0-689-85281-9 (hardcover),Middle schools -- Fiction.
,"Holm, Jennifer L.",Middle school is worse than meatloaf : a year told through stuff,T 35560,MS/US Circulating,,,,0-689-85281-9 (hardcover),Remarriage -- Fiction.
,"Holm, Jennifer L.",Middle school is worse than meatloaf : a year told through stuff,T 35560,MS/US Circulating,,,,0-689-85281-9 (hardcover),Schools -- Fiction.
,"Holm, Jennifer L,",Sunny side up,T 24153,MS/US Circulating,,,,978-0-545-74166-8 (pbk.),Graphic novels.
,"Hoover, P. J. (Patricia J.), 1970-",Tut : the story of my immortal life,T 49185,MS/US Circulating,,,,978-0-7653-3468-8,"Horemheb, King of Egypt."
,"Hoover, P. J. (Patricia J.), 1970-",Tut : the story of my immortal life,T 49185,MS/US Circulating,,,,978-0-7653-3468-8,JUVENILE FICTION / Action & Adventure / General.
,"Hoover, P. J. (Patricia J.), 1970-",Tut : the story of my immortal life,T 49185,MS/US Circulating,,,,978-0-7653-3468-8,JUVENILE FICTION / Fantasy & Magic.
,"Hoover, P. J. (Patricia J.), 1970-",Tut : the story of my immortal life,T 49185,MS/US Circulating,,,,978-0-7653-3468-8,"Tutankhamen, King of Egypt."
,"Horowitz, Anthony, 1955-",Stormbreaker,T 35168,MS/US Circulating,,,,0-14-240611-2 (pbk.),
,"Horvath, Polly.",My one hundred adventures,T 60636,MS/US Circulating,,,,978-0-375-84582-6,
,"Hosseini, Khaled.",And the mountains echoed,T 23794,MS/US Circulating,,,,978-1-59463-176-4,Afghanistan -- Fiction.
,"Hosseini, Khaled.",And the mountains echoed,T 23794,MS/US Circulating,,,,978-1-59463-176-4,Community life -- Fiction.
,"Hosseini, Khaled.",And the mountains echoed,T 23794,MS/US Circulating,,,,978-1-59463-176-4,Domestic fiction.
,"Hosseini, Khaled.",And the mountains echoed,T 23794,MS/US Circulating,,,,978-1-59463-176-4,Families -- Fiction.
,"Hosseini, Khaled.",And the mountains echoed,T 23794,MS/US Circulating,,,,978-1-59463-176-4,Interpersonal relations -- Fiction.
,"Howe, Katherine.",Conversion,T 49104,MS/US Circulating,,,,978-0-399-16777-5,JUVENILE FICTION / Horror & Ghost Stories.
,"Howe, Katherine.",Conversion,T 49104,MS/US Circulating,,,,978-0-399-16777-5,JUVENILE FICTION / School & Education.
,"Howe, Katherine.",Conversion,T 49104,MS/US Circulating,,,,978-0-399-16777-5,JUVENILE FICTION / Social Issues / Friendship.
,"Hugo, Victor, 1802-1885.",Les mis�rables,T 48795,MS/US Circulating,,,,978-0-451-52526-0 (pbk.),Epic literature.
,"Hugo, Victor, 1802-1885.",Les mis�rables,T 48795,MS/US Circulating,,,,978-0-451-52526-0 (pbk.),Ex-convicts -- Fiction.
,"Hugo, Victor, 1802-1885.",Les mis�rables,T 48795,MS/US Circulating,,,,978-0-451-52526-0 (pbk.),Orphans -- Fiction.
,"Hugo, Victor, 1802-1885.",Les mis�rables,T 48795,MS/US Circulating,,,,978-0-451-52526-0 (pbk.),Paris (France) -- Fiction.
,"Hurwitz, Gregg Andrew,",The Rains,T 49336,MS/US Circulating,,,,978-0-7653-8267-2,
,"Hutchinson, Shaun David,",We are the ants,T 24289,MS/US Circulating,,,,978-1-48144963-2,
,"Igarashi, Daisuke.",Children of the sea,T 48660,MS/US Circulating,,,,978-1-42152914-1 (pbk.),Graphic novels.
,"Irving, John, 1942-",The cider house rules : a novel,T 24199,MS/US Circulating,,,,978-0-345-41794-7 (pbk.),Abortion -- Fiction.
,"Irving, John, 1942-",The cider house rules : a novel,T 24199,MS/US Circulating,,,,978-0-345-41794-7 (pbk.),Bildungsromane.
,"Irving, John, 1942-",The cider house rules : a novel,T 24199,MS/US Circulating,,,,978-0-345-41794-7 (pbk.),Maine -- Fiction.
,"Irving, John, 1942-",The cider house rules : a novel,T 24199,MS/US Circulating,,,,978-0-345-41794-7 (pbk.),Orphanages -- Fiction.
,"Irving, John, 1942-",The cider house rules : a novel,T 24199,MS/US Circulating,,,,978-0-345-41794-7 (pbk.),Physicians -- Fiction.
,"Irving, John, 1942-",The cider house rules : a novel,T 24199,MS/US Circulating,,,,978-0-345-41794-7 (pbk.),Young men -- Maine -- Fiction.
,"Irving, John, 1942-",A prayer for Owen Meany,T 24190,MS/US Circulating,,,,978-0-06-220409-7 (pbk.),Belief and doubt -- Fiction.
,"Irving, John, 1942-",A prayer for Owen Meany,T 24190,MS/US Circulating,,,,978-0-06-220409-7 (pbk.),Birthfathers -- Fiction.
,"Irving, John, 1942-",A prayer for Owen Meany,T 24190,MS/US Circulating,,,,978-0-06-220409-7 (pbk.),Boys -- Fiction.
,"Irving, John, 1942-",A prayer for Owen Meany,T 24190,MS/US Circulating,,,,978-0-06-220409-7 (pbk.),Male friendship -- Fiction.
,"Irving, John, 1942-",A prayer for Owen Meany,T 24190,MS/US Circulating,,,,978-0-06-220409-7 (pbk.),Mothers -- Death -- Fiction.
,"Irving, John, 1942-",A prayer for Owen Meany,T 24190,MS/US Circulating,,,,978-0-06-220409-7 (pbk.),New Hampshire -- Fiction.
,"Irving, John, 1942-",A prayer for Owen Meany,T 24190,MS/US Circulating,,,,978-0-06-220409-7 (pbk.),Predestination -- Fiction.
,"Irving, John, 1942-",A prayer for Owen Meany,T 24190,MS/US Circulating,,,,978-0-06-220409-7 (pbk.),Psychological fiction.
,"Irving, John, 1942-",A prayer for Owen Meany,T 24190,MS/US Circulating,,,,978-0-06-220409-7 (pbk.),Religious fiction.
,"Irving, John, 1942-",A prayer for Owen Meany,T 24190,MS/US Circulating,,,,978-0-06-220409-7 (pbk.),"Vietnam War, 1961-1975 -- United States -- Fiction."
,"Irving, John, 1942-",A prayer for Owen Meany,T 24190,MS/US Circulating,,,,978-0-06-220409-7 (pbk.),Young men -- Fiction.
,"Irving, John, 1942-",The world according to Garp : a novel,T 24357,MS/US Circulating,,,,978-0-345-41801-2 (pbk.),
,"Iserson, David.",Firecracker,T 23676,MS/US Circulating,,,,978-1-59514-370-9,
,"Ishiguro, Kazuo, 1954-",Never let me go,T 60885,MS/US Circulating,,,,978-0-307-74099-1 (pbk.),"Donation of organs, tissues, etc. -- Fiction."
,"Ishiguro, Kazuo, 1954-",Never let me go,T 60885,MS/US Circulating,,,,978-0-307-74099-1 (pbk.),England -- Fiction.
,"Ishiguro, Kazuo, 1954-",Never let me go,T 60885,MS/US Circulating,,,,978-0-307-74099-1 (pbk.),Human cloning -- Fiction.
,"Ishiguro, Kazuo, 1954-",Never let me go,T 60885,MS/US Circulating,,,,978-0-307-74099-1 (pbk.),Organ donors -- Fiction.
,"Ishiguro, Kazuo, 1954-",Never let me go,T 60885,MS/US Circulating,,,,978-0-307-74099-1 (pbk.),Psychological fiction.
,"Ishiguro, Kazuo, 1954-",Never let me go,T 60885,MS/US Circulating,,,,978-0-307-74099-1 (pbk.),Science fiction.
,"Ishiguro, Kazuo, 1954-",Never let me go,T 60885,MS/US Circulating,,,,978-0-307-74099-1 (pbk.),Women -- Fiction.
,"Ishiguro, Kazuo, 1954-",The remains of the day,T 48942,MS/US Circulating,,,,978-0-679-73172-6 (pbk.),Country homes -- Fiction.
,"Ishiguro, Kazuo, 1954-",The remains of the day,T 48942,MS/US Circulating,,,,978-0-679-73172-6 (pbk.),England -- Fiction.
,"Ishiguro, Kazuo, 1954-",The remains of the day,T 48942,MS/US Circulating,,,,978-0-679-73172-6 (pbk.),Historical fiction.
,"Ishiguro, Kazuo, 1954-",The remains of the day,T 48942,MS/US Circulating,,,,978-0-679-73172-6 (pbk.),Household employees -- Fiction.
,"Ishiguro, Kazuo, 1954-",The remains of the day,T 48942,MS/US Circulating,,,,978-0-679-73172-6 (pbk.),Love stories.
,"Jack, Gordon,",The boomerang effect,T 49312,MS/US Circulating,,,,978-0-06-239939-7,
,"Jamieson, Victoria.",Roller girl,T 24020,MS/US Circulating,,,,978-0-525-42967-8,"Best friends -- Comic books, strips, etc."
,"Jamieson, Victoria.",Roller girl,T 24020,MS/US Circulating,,,,978-0-525-42967-8,Best friends -- Fiction.
,"Jamieson, Victoria.",Roller girl,T 24020,MS/US Circulating,,,,978-0-525-42967-8,Cartoons and comics.
,"Jamieson, Victoria.",Roller girl,T 24020,MS/US Circulating,,,,978-0-525-42967-8,"Friendship -- Comic books, strips, etc."
,"Jamieson, Victoria.",Roller girl,T 24020,MS/US Circulating,,,,978-0-525-42967-8,Friendship -- Fiction.
,"Jamieson, Victoria.",Roller girl,T 24020,MS/US Circulating,,,,978-0-525-42967-8,Graphic novels.
,"Jamieson, Victoria.",Roller girl,T 24020,MS/US Circulating,,,,978-0-525-42967-8,"Roller derby -- Comic books, strips, etc."
,"Jamieson, Victoria.",Roller girl,T 24020,MS/US Circulating,,,,978-0-525-42967-8,Roller derby -- Fiction.
,"Jamieson, Victoria.",Roller girl,T 24020,MS/US Circulating,,,,978-0-525-42967-8,"Roller skating -- Comic books, strips, etc."
,"Jamieson, Victoria.",Roller girl,T 24020,MS/US Circulating,,,,978-0-525-42967-8,Roller skating -- Fiction.
,"Jamieson, Victoria.",Roller girl,T 24020,MS/US Circulating,,,,978-0-525-42967-8,Sports -- Fiction.
,"Jamieson, Victoria.",Roller girl,T 24020,MS/US Circulating,,,,978-0-525-42967-8,Sports stories.
,"Jansson, Tove,",Moomin : the deluxe anniversary edition,T 49263,MS/US Circulating,,,,978-1-77046-171-0,Graphic novels.
,"Jensen, Van.","Pinocchio, vampire slayer",T 23367,MS/US Circulating,,,,978-1-59362-176-6 (pbk.),Graphic novels.
,"Jensen, Van.","Pinocchio, vampire slayer",T 23367,MS/US Circulating,,,,978-1-59362-176-6 (pbk.),"Pinocchio (Fictitious character) -- Comic books, strips, etc."
,"Jensen, Van.","Pinocchio, vampire slayer",T 23367,MS/US Circulating,,,,978-1-59362-176-6 (pbk.),"Vampires -- Comic books, strips, etc."
,"Johnson, Alaya Dawn, 1982-",The summer prince,T 23781,MS/US Circulating,,,,978-0-545-41779-2,
,"Johnson, Julia Claiborne,",Be frank with me,T 24208,MS/US Circulating,,,,978-0-06-241371-0,Authors -- Fiction.
,"Johnson, Julia Claiborne,",Be frank with me,T 24208,MS/US Circulating,,,,978-0-06-241371-0,Domestic fiction.
,"Johnson, Julia Claiborne,",Be frank with me,T 24208,MS/US Circulating,,,,978-0-06-241371-0,Mothers and sons -- Fiction.
,"Johnson, Julia Claiborne,",Be frank with me,T 24208,MS/US Circulating,,,,978-0-06-241371-0,Recluses -- Fiction.
,"Johnson, Maureen, 1973-",The madness underneath,T 23750,MS/US Circulating,,,,978-0-399-25661-5,JUVENILE FICTION / Horror & Ghost Stories.
,"Johnson, Maureen, 1973-",The madness underneath,T 23750,MS/US Circulating,,,,978-0-399-25661-5,JUVENILE FICTION / Mysteries & Detective Stories.
,"Johnson, Maureen, 1973-",The madness underneath,T 23750,MS/US Circulating,,,,978-0-399-25661-5,JUVENILE FICTION / People & Places / Europe.
,"Joyce, James, 1882-1941.",Dubliners,T 23845,MS/US Circulating,,,,978-1-41650035-3 (pbk.),Dublin (Ireland) -- Fiction.
,"Jung, Mike,",Unidentified suburban object,T 24230,MS/US Circulating,,,,978-0-545-78226-5,Best friends.
,"Jung, Mike,",Unidentified suburban object,T 24230,MS/US Circulating,,,,978-0-545-78226-5,Extraterrestrial beings.
,"Jung, Mike,",Unidentified suburban object,T 24230,MS/US Circulating,,,,978-0-545-78226-5,Families.
,"Jung, Mike,",Unidentified suburban object,T 24230,MS/US Circulating,,,,978-0-545-78226-5,Identity (Psychology)
,"Jung, Mike,",Unidentified suburban object,T 24230,MS/US Circulating,,,,978-0-545-78226-5,Korean Americans.
,"Jung, Mike,",Unidentified suburban object,T 24230,MS/US Circulating,,,,978-0-545-78226-5,Schools.
,"Kadohata, Cynthia.",Half a world away,T 49129,MS/US Circulating,,,,978-1-44241275-0,
,"Karr, Kathleen.",The boxer,T 35301,MS/US Circulating,,,,0-374-30921-3,Boxing -- Fiction.
,"Karr, Kathleen.",The boxer,T 35301,MS/US Circulating,,,,0-374-30921-3,New York (N.Y.) -- Fiction.
,"Karr, Kathleen.",The boxer,T 35301,MS/US Circulating,,,,0-374-30921-3,Prisoners -- Fiction.
,"Karr, Kathleen.",The boxer,T 35301,MS/US Circulating,,,,0-374-30921-3,Prisons -- Fiction.
,"Kelly, Lee.",City of savages,T 49162,MS/US Circulating,,,,978-1-48141030-4,"Manhattan (New York, N.Y.) -- Fiction."
,"Kelly, Lee.",City of savages,T 49162,MS/US Circulating,,,,978-1-48141030-4,Regression (Civilization) -- Fiction.
,"Kelly, Lee.",City of savages,T 49162,MS/US Circulating,,,,978-1-48141030-4,Science fiction.
,"Kelly, Lee.",City of savages,T 49162,MS/US Circulating,,,,978-1-48141030-4,Sisters -- Fiction.
,"Kephart, Beth,",This is the story of you,T 24259,MS/US Circulating,,,,978-1-45214284-5,Hurricanes -- New Jersey.
,"Kephart, Beth,",This is the story of you,T 24259,MS/US Circulating,,,,978-1-45214284-5,Islands -- New Jersey.
,"Kephart, Beth,",This is the story of you,T 24259,MS/US Circulating,,,,978-1-45214284-5,New Jersey.
,"Kephart, Beth,",This is the story of you,T 24259,MS/US Circulating,,,,978-1-45214284-5,Survival.
,"Kesey, Ken.",One flew over the cuckoo's nest,T 23615,MS/US Circulating,,,,978-0-670-02323-3,Mentally ill -- Fiction.
,"Kesey, Ken.",One flew over the cuckoo's nest,T 23615,MS/US Circulating,,,,978-0-670-02323-3,Oregon -- Fiction.
,"Kesey, Ken.",One flew over the cuckoo's nest,T 23615,MS/US Circulating,,,,978-0-670-02323-3,Psychiatric hospital patients -- Fiction.
,"Kesey, Ken.",One flew over the cuckoo's nest,T 23615,MS/US Circulating,,,,978-0-670-02323-3,Psychiatric hospitals -- Fiction.
,"Kesey, Ken.",One flew over the cuckoo's nest,T 23615,MS/US Circulating,,,,978-0-670-02323-3,Psychiatric nurses -- Fiction.
,"Kesey, Ken.",One flew over the cuckoo's nest,T 23615,MS/US Circulating,,,,978-0-670-02323-3,Psychological fiction.
,"Kibuishi, Kazu.",Firelight,T 38043,MS/US Circulating,,,,978-0-545-43316-7 (pb),
,"Kibuishi, Kazu.",Firelight,T 38043,MS/US Circulating,,,,978-0-545-67842-1 (ebk),
,"Kibuishi, Kazu.",Firelight,T 38043,MS/US Circulating,,,,978-0-545-83966-2 (hc),
,"Kibuishi, Kazu, 1978-",Amulet,T 49241,MS/US Circulating,,,,978-0-545-20885-7 (pbk.),"Comic books, strips, etc."
,"Kibuishi, Kazu, 1978-",Escape from Lucien,T 24398,MS/US Circulating,,,,978-0-545-43315-0 (pbk.),Graphic novels.
,"Kim, Susan.",Brain camp,T 23797,MS/US Circulating,,,,978-1-59643-366-3 (pbk.),Graphic novels.
,"Kincaid, S. J.",Insignia,T 64529,MS/US Circulating,,,,978-0-06-209299-1,JUVENILE FICTION / Action & Adventure / General.
,"Kincaid, S. J.",Insignia,T 64529,MS/US Circulating,,,,978-0-06-209299-1,JUVENILE FICTION / Science Fiction.
,"Kincaid, S. J.",Insignia,T 64529,MS/US Circulating,,,,978-0-06-209299-1,JUVENILE FICTION / Science & Technology.
,"Kindt, Matt.",Red handed : the fine art of strange crimes,T 23765,MS/US Circulating,,,,978-1-59643-662-6,Graphic novels.
,"King, A. S. (Amy Sarig), 1970-",Glory O'Brien's history of the future,T 49120,MS/US Circulating,,,,978-0-316-22272-3,
,"King, A. S. (Amy Sarig), 1970-",Reality Boy,T 23830,MS/US Circulating,,,,978-0-316-22270-9,
,"King, A. S. (Amy Sarig), 1970-",Still life with tornado,T 24448,MS/US Circulating,,,,978-1-10199488-7,JUVENILE FICTION / Art & Architecture.
,"King, A. S. (Amy Sarig), 1970-",Still life with tornado,T 24448,MS/US Circulating,,,,978-1-10199488-7,JUVENILE FICTION / Family / Marriage & Divorce.
,"King, A. S. (Amy Sarig), 1970-",Still life with tornado,T 24448,MS/US Circulating,,,,978-1-10199488-7,JUVENILE FICTION / Social Issues / Physical & Emotional Abuse (see also Social Issues / Sexual Abuse).
,"Kinney, Jeff.",Diary of a wimpy kid : Greg Heffley's journal,T 60618,MS/US Circulating,,,,978-0-8109-9313-6,Diaries.
,"Kinney, Jeff.",Diary of a wimpy kid : Greg Heffley's journal,T 60618,MS/US Circulating,,,,978-0-8109-9313-6,Friendship.
,"Kinney, Jeff.",Diary of a wimpy kid : Greg Heffley's journal,T 60618,MS/US Circulating,,,,978-0-8109-9313-6,Middle schools.
,"Kinney, Jeff.",Diary of a wimpy kid : Greg Heffley's journal,T 60618,MS/US Circulating,,,,978-0-8109-9313-6,Schools.
,"Kinney, Jeff.",Diary of a wimpy kid : hard luck,T 23811,MS/US Circulating,,,,978-1-41971132-9,Diaries -- Fiction.
